Date;Solde
2024-01-08;1500.0
2024-01-19;1496.820779
2024-02-10;1496.9346489999998
2024-02-10;1496.9526489999998
2024-02-10;1496.8494489999998
2024-02-10;1496.952349
2024-02-10;1497.0635169999998
2024-02-13;1496.8871169999998
2024-02-13;1496.9624169999995
2024-02-17;1501.6680169999995
2024-02-18;1501.3800169999995
2024-02-29;1529.1270007999997
2024-02-29;1557.8198007999997
2024-03-01;1579.2805777999995
2024-03-01;1613.5811777999995
2024-03-02;1637.9873777999994
2024-03-02;1671.9097037999995
2024-03-02;1697.5086797999995
2024-03-05;1711.3467160999996
2024-03-05;1776.9135160999997
2024-03-05;1786.0201660999996
2024-03-05;1786.0201660999996
2024-03-08;1803.6741661
2024-03-12;1869.6459661
2024-03-15;1908.7669661
2024-03-16;1901.2741661
2024-03-16;1854.6668441
2024-03-17;1886.6780441
2024-03-17;1927.3833241
2024-03-17;1874.5723241
2024-03-17;1859.8558041
2024-03-19;1810.0504421
2024-03-19;1756.8284421
2024-03-19;1672.7534421
2024-03-19;1611.0143421
2024-03-19;1574.3111421
2024-03-20;1571.9743421
2024-03-20;1544.0023421
2024-03-20;1542.2933986
2024-03-20;1522.5353986
2024-03-29;1522.4010986
2024-03-30;1531.2462986
2024-04-05;1479.7302986
2024-04-06;4900.7302986
2024-05-21;4909.337498600001
2024-05-21;4920.3354986
2024-05-21;4926.9810986
2024-05-21;4941.0776058
2024-05-21;4951.9412738
2024-05-22;4957.5605238
2024-05-23;4968.4624998
2024-05-25;4977.2677998
2024-05-27;4986.4549998
2024-05-27;4993.7423998
2024-05-29;5002.283327800001
2024-05-29;5009.456419800001
