Date;Solde
2024-03-05;250.0
2024-03-16;247.520278
2024-03-17;245.598678
2024-03-19;243.008654
2024-03-19;240.502654
2024-03-19;237.554654
2024-03-19;234.773454
2024-03-20;235.158254
2024-03-29;235.155854
2024-03-30;235.538054
2024-05-21;236.021854
2024-05-21;236.480854
2024-05-21;237.1466028
2024-05-21;237.6884028
2024-05-23;238.2331268
2024-05-25;238.6447268
2024-05-27;239.0715268
2024-05-27;239.3537268
2024-05-29;239.7852768
2024-05-29;240.1733548
2024-05-31;240.5476038
2024-06-01;240.9790618
2024-06-02;241.2845478
2024-06-03;237.8507478
2024-06-03;238.2819568
2024-06-03;238.6579918
2024-06-05;239.0683698
2024-06-06;240.7277048
2024-06-06;241.0954808
